"","name","y_rmse","mean1","mean2","var1","var2"
"248","var",1.24421427291915,2.31538461538462,-0.266153846153846,1,1
"249","y1",2.51760147350539,2.31538461538462,-0.266153846153846,1,1
"250","y2",1.03411244109883,2.31538461538462,-0.266153846153846,1,1
"251","rmse",0.930432903877109,2.57153846153846,-0.266153846153846,1,1
"252","unif",1.35135814494815,2.57153846153846,-0.266153846153846,1,1
"253","var",1.3524891461003,2.57153846153846,-0.266153846153846,1,1
"254","y1",2.75067585413646,2.57153846153846,-0.266153846153846,1,1
"255","y2",1.03439487672498,2.57153846153846,-0.266153846153846,1,1
"256","rmse",0.944322085785423,2.82769230769231,-0.266153846153846,1,1
"257","unif",1.45858876408553,2.82769230769231,-0.266153846153846,1,1
"258","var",1.45759245054725,2.82769230769231,-0.266153846153846,1,1
"259","y1",2.98949001207117,2.82769230769231,-0.266153846153846,1,1
"260","y2",1.03140660313566,2.82769230769231,-0.266153846153846,1,1
"261","rmse",0.966751555308965,3.08384615384615,-0.266153846153846,1,1
"262","unif",1.57829228583704,3.08384615384615,-0.266153846153846,1,1
"263","var",1.57499891386393,3.08384615384615,-0.266153846153846,1,1
"264","y1",3.24176446304691,3.08384615384615,-0.266153846153846,1,1
"265","y2",1.03510324519169,3.08384615384615,-0.266153846153846,1,1
"266","rmse",0.976604442805495,3.34,-0.266153846153846,1,1
"267","unif",1.68949063989357,3.34,-0.266153846153846,1,1
"268","var",1.68764366997309,3.34,-0.266153846153846,1,1
"269","y1",3.48183098287941,3.34,-0.266153846153846,1,1
"270","y2",1.03099405314208,3.34,-0.266153846153846,1,1
"271","rmse",0.987932104557479,3.59615384615385,-0.266153846153846,1,1
"272","unif",1.80800491811083,3.59615384615385,-0.266153846153846,1,1
"273","var",1.80461096400323,3.59615384615385,-0.266153846153846,1,1
"274","y1",3.73417997893467,3.59615384615385,-0.266153846153846,1,1
"275","y2",1.02962000583846,3.59615384615385,-0.266153846153846,1,1
"276","rmse",0.991617992896441,3.85230769230769,-0.266153846153846,1,1
"277","unif",1.91787063857832,3.85230769230769,-0.266153846153846,1,1
"278","var",1.91679133688453,3.85230769230769,-0.266153846153846,1,1
"279","y1",3.98051488599575,3.85230769230769,-0.266153846153846,1,1
"280","y2",1.031471994389,3.85230769230769,-0.266153846153846,1,1
"281","rmse",1.02991002857203,4.10846153846154,-0.266153846153846,1,1
"282","unif",2.0495437187414,4.10846153846154,-0.266153846153846,1,1
"283","var",2.0476463547049,4.10846153846154,-0.266153846153846,1,1
"284","y1",4.21068669723672,4.10846153846154,-0.266153846153846,1,1
"285","y2",1.03304703250957,4.10846153846154,-0.266153846153846,1,1
"286","rmse",1.02024004665384,4.36461538461538,-0.266153846153846,1,1
"287","unif",2.16749924247692,4.36461538461538,-0.266153846153846,1,1
"288","var",2.16195496039093,4.36461538461538,-0.266153846153846,1,1
"289","y1",4.478461191658,4.36461538461538,-0.266153846153846,1,1
"290","y2",1.02518728777421,4.36461538461538,-0.266153846153846,1,1
"291","rmse",1.03436823691202,4.62076923076923,-0.266153846153846,1,1
"292","unif",2.28931264936309,4.62076923076923,-0.266153846153846,1,1
"293","var",2.29869813268908,4.62076923076923,-0.266153846153846,1,1
"294","y1",4.73133183176242,4.62076923076923,-0.266153846153846,1,1
"295","y2",1.03196834880038,4.62076923076923,-0.266153846153846,1,1
"296","rmse",1.04114017621663,4.87692307692308,-0.266153846153846,1,1
"297","unif",2.39990807150543,4.87692307692308,-0.266153846153846,1,1
"298","var",2.40458261221893,4.87692307692308,-0.266153846153846,1,1
"299","y1",4.9574881757807,4.87692307692308,-0.266153846153846,1,1
"300","y2",1.02979154933201,4.87692307692308,-0.266153846153846,1,1
"301","rmse",1.06550447554166,5.13307692307692,-0.266153846153846,1,1
"302","unif",2.52869408490887,5.13307692307692,-0.266153846153846,1,1
"303","var",2.52676498626792,5.13307692307692,-0.266153846153846,1,1
"304","y1",5.22561327156529,5.13307692307692,-0.266153846153846,1,1
"305","y2",1.05054925381307,5.13307692307692,-0.266153846153846,1,1
"306","rmse",1.07909876679699,5.38923076923077,-0.266153846153846,1,1
"307","unif",2.66025622336592,5.38923076923077,-0.266153846153846,1,1
"308","var",2.65581883574483,5.38923076923077,-0.266153846153846,1,1
"309","y1",5.48184769648122,5.38923076923077,-0.266153846153846,1,1
"310","y2",1.0475625349865,5.38923076923077,-0.266153846153846,1,1
"311","rmse",1.07122266568586,5.64538461538462,-0.266153846153846,1,1
"312","unif",2.77883045023088,5.64538461538462,-0.266153846153846,1,1
"313","var",2.77909713435931,5.64538461538462,-0.266153846153846,1,1
"314","y1",5.73619897352922,5.64538461538462,-0.266153846153846,1,1
"315","y2",1.03993449770961,5.64538461538462,-0.266153846153846,1,1
"316","rmse",1.07545889548668,5.90153846153846,-0.266153846153846,1,1
"317","unif",2.89732505152266,5.90153846153846,-0.266153846153846,1,1
"318","var",2.89264972424129,5.90153846153846,-0.266153846153846,1,1
"319","y1",5.97874145994343,5.90153846153846,-0.266153846153846,1,1
"320","y2",1.03855366398784,5.90153846153846,-0.266153846153846,1,1
"321","rmse",1.09406973608546,6.15769230769231,-0.266153846153846,1,1
"322","unif",3.0290772239032,6.15769230769231,-0.266153846153846,1,1
"323","var",3.03450123017732,6.15769230769231,-0.266153846153846,1,1
"324","y1",6.23726437628365,6.15769230769231,-0.266153846153846,1,1
"325","y2",1.04484328604399,6.15769230769231,-0.266153846153846,1,1
"326","rmse",1.0874775040541,6.41384615384615,-0.266153846153846,1,1
"327","unif",3.1611411628741,6.41384615384615,-0.266153846153846,1,1
"328","var",3.16817603477506,6.41384615384615,-0.266153846153846,1,1
"329","y1",6.49289408300979,6.41384615384615,-0.266153846153846,1,1
"330","y2",1.02332822054243,6.41384615384615,-0.266153846153846,1,1
"331","rmse",1.10037868819413,6.67,-0.266153846153846,1,1
"332","unif",3.26895483440991,6.67,-0.266153846153846,1,1
"333","var",3.27118726398018,6.67,-0.266153846153846,1,1
"334","y1",6.72937677471315,6.67,-0.266153846153846,1,1
"335","y2",1.04365219534009,6.67,-0.266153846153846,1,1
"336","rmse",1.11327939803786,6.92615384615385,-0.266153846153846,1,1
"337","unif",3.41858550862533,6.92615384615385,-0.266153846153846,1,1
"338","var",3.42781005227818,6.92615384615385,-0.266153846153846,1,1
"339","y1",7.02043915040817,6.92615384615385,-0.266153846153846,1,1
"340","y2",1.04240011925761,6.92615384615385,-0.266153846153846,1,1
"341","rmse",1.1090785625557,7.18230769230769,-0.266153846153846,1,1
"342","unif",3.53972151817485,7.18230769230769,-0.266153846153846,1,1
"343","var",3.53310135638762,7.18230769230769,-0.266153846153846,1,1
"344","y1",7.25988943259511,7.18230769230769,-0.266153846153846,1,1
"345","y2",1.02988410589203,7.18230769230769,-0.266153846153846,1,1
"346","rmse",1.10079205110042,7.43846153846154,-0.266153846153846,1,1
"347","unif",3.64112917201901,7.43846153846154,-0.266153846153846,1,1
"348","var",3.6381681266462,7.43846153846154,-0.266153846153846,1,1
"349","y1",7.49157473664301,7.43846153846154,-0.266153846153846,1,1
"350","y2",1.03584122168883,7.43846153846154,-0.266153846153846,1,1
"351","rmse",1.10974432199096,7.69461538461539,-0.266153846153846,1,1
"352","unif",3.78597987203982,7.69461538461539,-0.266153846153846,1,1
"353","var",3.77472985659491,7.69461538461539,-0.266153846153846,1,1
"354","y1",7.76025049171998,7.69461538461539,-0.266153846153846,1,1
"355","y2",1.02404796230865,7.69461538461539,-0.266153846153846,1,1
"356","rmse",1.12362772575606,7.95076923076923,-0.266153846153846,1,1
"357","unif",3.9023739246312,7.95076923076923,-0.266153846153846,1,1
"358","var",3.92183559002147,7.95076923076923,-0.266153846153846,1,1
"359","y1",8.00787840404784,7.95076923076923,-0.266153846153846,1,1
"360","y2",1.04206415570525,7.95076923076923,-0.266153846153846,1,1
"361","rmse",1.10747579753831,8.20692307692308,-0.266153846153846,1,1
"362","unif",4.03896721275357,8.20692307692308,-0.266153846153846,1,1
"363","var",4.03660145311686,8.20692307692308,-0.266153846153846,1,1
"364","y1",8.28981523491532,8.20692307692308,-0.266153846153846,1,1
"365","y2",1.02702452684529,8.20692307692308,-0.266153846153846,1,1
"366","rmse",1.13081882728299,8.46307692307692,-0.266153846153846,1,1
"367","unif",4.16448228464533,8.46307692307692,-0.266153846153846,1,1
"368","var",4.15566798710975,8.46307692307692,-0.266153846153846,1,1
"369","y1",8.52241974311515,8.46307692307692,-0.266153846153846,1,1
"370","y2",1.0322879872417,8.46307692307692,-0.266153846153846,1,1
"371","rmse",1.12191219667072,8.71923076923077,-0.266153846153846,1,1
"372","unif",4.27336131010496,8.71923076923077,-0.266153846153846,1,1
"373","var",4.28329684244547,8.71923076923077,-0.266153846153846,1,1
"374","y1",8.75728260164405,8.71923076923077,-0.266153846153846,1,1
"375","y2",1.03122526961594,8.71923076923077,-0.266153846153846,1,1
"376","rmse",1.1241064106665,8.97538461538462,-0.266153846153846,1,1
"377","unif",4.40261692877141,8.97538461538462,-0.266153846153846,1,1
"378","var",4.40180580902296,8.97538461538462,-0.266153846153846,1,1
"379","y1",9.02563902444751,8.97538461538462,-0.266153846153846,1,1
"380","y2",1.03536108335572,8.97538461538462,-0.266153846153846,1,1
"381","rmse",1.13980947649766,9.23153846153846,-0.266153846153846,1,1
"382","unif",4.53220272595468,9.23153846153846,-0.266153846153846,1,1
"383","var",4.54264968538263,9.23153846153846,-0.266153846153846,1,1
"384","y1",9.27697605194124,9.23153846153846,-0.266153846153846,1,1
"385","y2",1.04062179941571,9.23153846153846,-0.266153846153846,1,1
"386","rmse",1.12537970797256,9.48769230769231,-0.266153846153846,1,1
"387","unif",4.66291271378543,9.48769230769231,-0.266153846153846,1,1
"388","var",4.66937508650943,9.48769230769231,-0.266153846153846,1,1
"389","y1",9.54754404905998,9.48769230769231,-0.266153846153846,1,1
"390","y2",1.02953035029414,9.48769230769231,-0.266153846153846,1,1
"391","rmse",1.13826790766471,9.74384615384615,-0.266153846153846,1,1
"392","unif",4.78302215778581,9.74384615384615,-0.266153846153846,1,1
"393","var",4.79607120525131,9.74384615384615,-0.266153846153846,1,1
"394","y1",9.78448514329034,9.74384615384615,-0.266153846153846,1,1
"395","y2",1.03572802581013,9.74384615384615,-0.266153846153846,1,1
"396","rmse",1.15736707264344,10,-0.266153846153846,1,1
"397","unif",4.91844911984417,10,-0.266153846153846,1,1
"398","var",4.93053352936136,10,-0.266153846153846,1,1
"399","y1",10.0517032854984,10,-0.266153846153846,1,1
"400","y2",1.04694911543181,10,-0.266153846153846,1,1
"401","rmse",0.761871378390472,0.01,-0.522307692307692,1,1
"402","unif",0.765971837581675,0.01,-0.522307692307692,1,1
"403","var",0.765829322144488,0.01,-0.522307692307692,1,1
"404","y1",1.0095772716153,0.01,-0.522307692307692,1,1
"405","y2",1.13861746817484,0.01,-0.522307692307692,1,1
"406","rmse",0.716619224477867,0.266153846153846,-0.522307692307692,1,1
"407","unif",0.71900998966186,0.266153846153846,-0.522307692307692,1,1
"408","var",0.719071274098584,0.266153846153846,-0.522307692307692,1,1
"409","y1",1.02674718515579,0.266153846153846,-0.522307692307692,1,1
"410","y2",1.12422392340603,0.266153846153846,-0.522307692307692,1,1
"411","rmse",0.712336163308949,0.522307692307692,-0.522307692307692,1,1
"412","unif",0.712364530029812,0.522307692307692,-0.522307692307692,1,1
"413","var",0.71236081758303,0.522307692307692,-0.522307692307692,1,1
"414","y1",1.1338585100344,0.522307692307692,-0.522307692307692,1,1
"415","y2",1.12310697173883,0.522307692307692,-0.522307692307692,1,1
"416","rmse",0.707787204317476,0.778461538461539,-0.522307692307692,1,1
"417","unif",0.711536455970159,0.778461538461539,-0.522307692307692,1,1
"418","var",0.710917972430828,0.778461538461539,-0.522307692307692,1,1
"419","y1",1.24545622658414,0.778461538461539,-0.522307692307692,1,1
"420","y2",1.12030725237758,0.778461538461539,-0.522307692307692,1,1
"421","rmse",0.728320862135995,1.03461538461538,-0.522307692307692,1,1
"422","unif",0.753067782876704,1.03461538461538,-0.522307692307692,1,1
"423","var",0.751995967671214,1.03461538461538,-0.522307692307692,1,1
"424","y1",1.4512702209224,1.03461538461538,-0.522307692307692,1,1
"425","y2",1.11880996450421,1.03461538461538,-0.522307692307692,1,1
